fund_id,product_code,asset_category,amount,allocation_pct,total_amount,as_of_date,source_page,method,pct_derived
FUND000052,KR510902511M,주식,5715.0,97.59,5856.0,2024-12-31,48,cell_grid,False
FUND000052,KR510902511M,단기대출및예금,141.0,2.41,5856.0,2024-12-31,48,cell_grid,False
FUND000053,KR510902773M,주식,51981.0,95.97,54164.0,2025-09-30,46,cell_grid,False
FUND000053,KR510902773M,집합투자증권,1298.0,2.4,54164.0,2025-09-30,46,cell_grid,False
FUND000053,KR510902773M,단기대출및예금,843.0,1.56,54164.0,2025-09-30,46,cell_grid,False
FUND000053,KR510902773M,기타,43.0,0.08,54164.0,2025-09-30,46,cell_grid,False
FUND000054,KR510902777M,주식,23446.0,97.32,24093.0,2025-09-30,49,cell_grid,False
FUND000054,KR510902777M,단기대출및예금,604.0,2.51,24093.0,2025-09-30,49,cell_grid,False
FUND000054,KR510902777M,기타,43.0,0.18,24093.0,2025-09-30,49,cell_grid,False
FUND000055,KR5110501016,채권,45583.0,80.67,56508.0,2025-09-30,47,cell_grid,False
FUND000055,KR5110501016,어음,7332.0,12.97,56508.0,2025-09-30,47,cell_grid,False
FUND000055,KR5110501016,단기대출및예금,3593.0,6.36,56508.0,2025-09-30,47,cell_grid,False
FUND000056,KR5110601022,주식,3534.0,96.22,3673.0,2025-06-30,51,cell_grid,False
FUND000056,KR5110601022,단기대출및예금,129.0,3.51,3673.0,2025-06-30,51,cell_grid,False
FUND000056,KR5110601022,기타,10.0,0.27,3673.0,2025-06-30,51,cell_grid,False
FUND000034,KR5111420047,채권,344738.0,66.4,519164.0,2025-04-16,52,cell_grid,False
FUND000034,KR5111420047,어음,104469.0,20.12,519164.0,2025-04-16,52,cell_grid,False
FUND000034,KR5111420047,집합투자증권,30318.0,5.84,519164.0,2025-04-16,52,cell_grid,False
FUND000034,KR5111420047,단기대출및예금,7636.0,1.47,519164.0,2025-04-16,52,cell_grid,False
FUND000034,KR5111420047,기타,32002.0,6.16,519164.0,2025-04-16,52,cell_grid,False
FUND000035,KR5111450067,집합투자증권,207896.0,99.52,208908.0,2025-05-02,58,pdf_text_rows,False
FUND000035,KR5111450067,단기대출및예금,895.0,0.43,208908.0,2025-05-02,58,pdf_text_rows,False
FUND000035,KR5111450067,기타,117.0,0.06,208908.0,2025-05-02,58,pdf_text_rows,False
FUND000086,KR5113420012,채권,209.0,93.9,223.0,2025-02-28,53,cell_grid,False
FUND000086,KR5113420012,집합투자증권,7.0,2.99,223.0,2025-02-28,53,cell_grid,False
FUND000086,KR5113420012,단기대출및예금,4.0,1.76,223.0,2025-02-28,53,cell_grid,False
FUND000086,KR5113420012,기타,3.0,1.35,223.0,2025-02-28,53,cell_grid,False
FUND000087,KR5113420013,채권,425.0,83.99,506.0,2025-02-28,59,cell_grid,False
FUND000087,KR5113420013,어음,10.0,1.88,506.0,2025-02-28,59,cell_grid,False
FUND000087,KR5113420013,집합투자증권,20.0,3.87,506.0,2025-02-28,59,cell_grid,False
FUND000087,KR5113420013,단기대출및예금,20.0,3.96,506.0,2025-02-28,59,cell_grid,False
FUND000087,KR5113420013,기타,32.0,6.3,506.0,2025-02-28,59,cell_grid,False
FUND000087,KR5113420015,채권,425.0,83.99,506.0,2025-02-28,59,cell_grid,False
FUND000087,KR5113420015,어음,10.0,1.88,506.0,2025-02-28,59,cell_grid,False
FUND000087,KR5113420015,집합투자증권,20.0,3.87,506.0,2025-02-28,59,cell_grid,False
FUND000087,KR5113420015,단기대출및예금,20.0,3.96,506.0,2025-02-28,59,cell_grid,False
FUND000087,KR5113420015,기타,32.0,6.3,506.0,2025-02-28,59,cell_grid,False
FUND000088,KR5113420069,채권,48938.0,101.32,48302.0,2025-11-28,64,cell_grid,False
FUND000088,KR5113420069,어음,11354.0,23.51,48302.0,2025-11-28,64,cell_grid,False
FUND000088,KR5113420069,집합투자증권,996.0,2.06,48302.0,2025-11-28,64,cell_grid,False
FUND000088,KR5113420069,단기대출및예금,3414.0,7.07,48302.0,2025-11-28,64,cell_grid,False
FUND000088,KR5113420069,기타,-16400.0,-33.95,48302.0,2025-11-28,64,cell_grid,False
FUND000089,KR5113450111,주식,2336.0,93.53,2497.0,2025-02-28,54,cell_grid,False
FUND000089,KR5113450111,집합투자증권,93.0,3.72,2497.0,2025-02-28,54,cell_grid,False
FUND000089,KR5113450111,단기대출및예금,48.0,1.91,2497.0,2025-02-28,54,cell_grid,False
FUND000089,KR5113450111,기타,21.0,0.85,2497.0,2025-02-28,54,cell_grid,False
FUND000090,KR5113450401,주식,406.0,70.39,577.0,2025-08-29,64,cell_grid,False
FUND000090,KR5113450401,집합투자증권,20.0,3.5,577.0,2025-08-29,64,cell_grid,False
FUND000090,KR5113450401,단기대출및예금,146.0,25.36,577.0,2025-08-29,64,cell_grid,False
FUND000090,KR5113450401,기타,4.0,0.76,577.0,2025-08-29,64,cell_grid,False
FUND000091,KR5113470030,주식,303.0,94.94,319.0,2025-10-31,57,cell_grid,False
FUND000091,KR5113470030,단기대출및예금,12.0,3.87,319.0,2025-10-31,57,cell_grid,False
FUND000091,KR5113470030,기타,4.0,1.19,319.0,2025-10-31,57,cell_grid,False
FUND000091,KR5113470031,주식,303.0,94.94,319.0,2025-10-31,57,cell_grid,False
FUND000091,KR5113470031,단기대출및예금,12.0,3.87,319.0,2025-10-31,57,cell_grid,False
FUND000091,KR5113470031,기타,4.0,1.19,319.0,2025-10-31,57,cell_grid,False
FUND000046,KR5114420016,채권,9322.0,99.33,9385.0,2025-03-31,80,cell_grid,True
FUND000046,KR5114420016,단기대출및예금,20.0,0.21,9385.0,2025-03-31,80,cell_grid,True
FUND000046,KR5114420016,기타,43.0,0.46,9385.0,2025-03-31,80,cell_grid,True
FUND000047,KR5114420022,채권,288.0,99.65,289.0,2024-12-31,53,cell_grid,True
FUND000047,KR5114420022,단기대출및예금,2.0,0.69,289.0,2024-12-31,53,cell_grid,True
FUND000048,KR5114420027,집합투자증권,2116.0,99.91,2118.0,2025-03-31,69,cell_grid,True
FUND000048,KR5114420027,단기대출및예금,2.0,0.09,2118.0,2025-03-31,69,cell_grid,True
FUND000049,KR5114420046,집합투자증권,170.0,99.42,171.0,2025-09-30,43,cell_grid,True
FUND000049,KR5114420046,단기대출및예금,1.0,0.58,171.0,2025-09-30,43,cell_grid,True
FUND000050,KR5114450222,집합투자증권,336.0,98.82,340.0,2024-09-30,57,cell_grid,True
FUND000050,KR5114450222,단기대출및예금,3.0,0.88,340.0,2024-09-30,57,cell_grid,True
FUND000051,KR5114450270,집합투자증권,1566.0,98.18,1595.0,2025-09-30,44,cell_grid,True
FUND000051,KR5114450270,단기대출및예금,28.0,1.76,1595.0,2025-09-30,44,cell_grid,True
FUND000051,KR5114450270,기타,1.0,0.06,1595.0,2025-09-30,44,cell_grid,True
FUND000018,KR5116501001,집합투자증권,391.0,99.59,393.0,2020-12-25,42,cell_grid,False
FUND000018,KR5116501001,단기대출및예금,2.0,0.41,393.0,2020-12-25,42,cell_grid,False
FUND000038,KR5117420097,채권,4202.0,19.15,21943.0,2025-07-31,40,cell_grid,False
FUND000038,KR5117420097,어음,17738.0,80.84,21943.0,2025-07-31,40,cell_grid,False
FUND000038,KR5117420097,단기대출및예금,3.0,0.02,21943.0,2025-07-31,40,cell_grid,False
FUND000076,KR5118201004,채권,24722.2,62.16,39773.0,2025-10-26,54,cell_grid,False
FUND000076,KR5118201004,어음,13441.0,33.79,39773.0,2025-10-26,54,cell_grid,False
FUND000076,KR5118201004,집합투자증권,354.2,0.89,39773.0,2025-10-26,54,cell_grid,False
FUND000076,KR5118201004,단기대출및예금,1240.8,3.12,39773.0,2025-10-26,54,cell_grid,False
