fund_id,product_code,team_class_code,class_id,mapping_status,raw_label,fee_type,channel,account_type,retail,eligibility,front_load_fee_text,back_load_fee_text,redemption_fee_text,switch_fee_text,total_fee_pct,distribution_fee_pct,peer_avg_fee_pct,total_fee_and_cost_pct,cost_projection_per_10m,fee_breakdown,source_pages,method,confidence,evidence
FUND000052,KR510902511M,A,CLASS000685,EXACT_NORMALIZED_MATCH,수수료선취-오프라인,선취,오프라인,,True,제한 없음,납입금액의 1% 이내,없음,없음,없음,1.47,0.7,1.37,1.47,"{""1y"":""250"",""2y"":""408"",""3y"":""574"",""5y"":""926"",""10y"":""1937""}","[{""label"":""management_fee"",""value"":""0.72""},{""label"":""trustee_fee"",""value"":""0.03""},{""label"":""admin_fee"",""value"":""0.02""}]","[3,14]",cell_grid,1.0,클래스명: 수수료선취-오프라인(A) | 납입금 액의 1% 이내 수수료선취-오프라인(A) 납입금 액의 1% 이내 1.47 0.7 1.37 1.47 250 408 574 926 1937
FUND000052,KR510902511M,A-e,CLASS000686,EXACT_NORMALIZED_MATCH,수수료선취-온라인,선취,온라인,,True,온라인 투자자,납입금액의 0.5% 이내,없음,없음,없음,1.12,0.35,1.01,1.12,"{""1y"":""164"",""2y"":""285"",""3y"":""411"",""5y"":""679"",""10y"":""1449""}","[{""label"":""management_fee"",""value"":""0.72""},{""label"":""trustee_fee"",""value"":""0.03""},{""label"":""admin_fee"",""value"":""0.02""}]","[3,14]",cell_grid,1.0,클래스명: 수수료선취-온라인(A-e) | 납입금 액의 0.5% 이내 수수료선취-온라인(A-e) 납입금 액의 0.5% 이내 1.12 0.35 1.01 1.12 164 285 411 679 1449
FUND000052,KR510902511M,C-P,CLASS000695,EXACT_NORMALIZED_MATCH,수수료미징구-오프라인-개인연금,미징구,오프라인,개인연금,True,소득세법 제20조의3 및 소득세법시행 령 제40조의2에 따른 연금저축계좌의 가입자,없음,없음,없음,없음,1.57,0.8,-,1.57,"{""1y"":""160"",""2y"":""329"",""3y"":""506"",""5y"":""883"",""10y"":""1962""}","[{""label"":""management_fee"",""value"":""0.72""},{""label"":""trustee_fee"",""value"":""0.03""},{""label"":""admin_fee"",""value"":""0.02""}]","[3,15]",cell_grid,1.0,클래스명: 수수료미징구-오프라인-개 인연금(C-P) | - 수수료미징구-오프라인-개 인연금(C-P) - 1.57 0.8 - 1.57 160 329 506 883 1962
FUND000052,KR510902511M,C-P2,CLASS000697,EXACT_NORMALIZED_MATCH,수수료미징구-오프라인-퇴직연금,미징구,오프라인,퇴직연금,True,"근로자퇴직급여보장법에 의한 퇴직연 금 및 개인퇴직계좌, 퇴직연금사업자",없음,없음,없음,없음,1.41,0.64,-,1.41,"{""1y"":""144"",""2y"":""296"",""3y"":""454"",""5y"":""793"",""10y"":""1762""}","[{""label"":""management_fee"",""value"":""0.72""},{""label"":""trustee_fee"",""value"":""0.03""},{""label"":""admin_fee"",""value"":""0.02""}]","[3,15]",cell_grid,1.0,클래스명: 수수료미징구-오프라인-퇴 직연금(C-P2) | - 수수료미징구-오프라인-퇴 직연금(C-P2) - 1.41 0.64 - 1.41 144 296 454 793 1762
FUND000052,KR510902511M,C-P2e,CLASS000698,EXACT_NORMALIZED_MATCH,수수료미징구-온라인-퇴직연금,미징구,온라인,퇴직연금,True,"근로자퇴직급여보장법에 의한 퇴직연 금 및 개인퇴직계좌, 퇴직연금사업자 중 온라인 가입자",없음,없음,없음,없음,1.0900,0.32,-,1.09,"{""1y"":""111"",""2y"":""228"",""3y"":""351"",""5y"":""613"",""10y"":""1362""}","[{""label"":""management_fee"",""value"":""0.72""},{""label"":""trustee_fee"",""value"":""0.03""},{""label"":""admin_fee"",""value"":""0.02""}]","[15,27,29]",detail_table_cross_validated,0.7,"[상세표 보강] [(4, '0.72'), (5, '0.32'), (6, '0.03'), (7, '0.02')]"
FUND000052,KR510902511M,C-Pe,CLASS000696,EXACT_NORMALIZED_MATCH,수수료미징구-온라인-개인연금,미징구,온라인,개인연금,True,소득세법 제20조의3 및 소득세법시행 령 제40조의2에 따른 연금저축계좌의 가입자 중 온라인 가입자,없음,없음,없음,없음,1.1700,0.4,-,1.17,"{""1y"":""119"",""2y"":""245"",""3y"":""377"",""5y"":""658"",""10y"":""1462""}","[{""label"":""management_fee"",""value"":""0.72""},{""label"":""trustee_fee"",""value"":""0.03""},{""label"":""admin_fee"",""value"":""0.02""}]","[15,27,29]",detail_table_cross_validated,0.7,"[상세표 보강] [(4, '0.72'), (5, '0.4'), (6, '0.03'), (7, '0.02')]"
FUND000052,KR510902511M,C-e,CLASS000691,EXACT_NORMALIZED_MATCH,수수료미징구-온라인,미징구,온라인,,True,온라인 가입자,없음,없음,없음,없음,1.27,0.5,1.19,1.27,"{""1y"":""130"",""2y"":""266"",""3y"":""409"",""5y"":""714"",""10y"":""1587""}","[{""label"":""management_fee"",""value"":""0.72""},{""label"":""trustee_fee"",""value"":""0.03""},{""label"":""admin_fee"",""value"":""0.02""}]","[3,15]",cell_grid,1.0,클래스명: 수수료미징구-온라인(C-e) | - 수수료미징구-온라인(C-e) - 1.27 0.5 1.19 1.27 130 266 409 714 1587
FUND000052,KR510902511M,C1,CLASS000687,EXACT_NORMALIZED_MATCH,수수료미징구-오프라인-보수체감,미징구,오프라인,,True,제한 없음,없음,없음,없음,없음,2.07,1.3,1.58,2.07,"{""1y"":""212"",""2y"":""413"",""3y"":""601"",""5y"":""953"",""10y"":""1964""}","[{""label"":""management_fee"",""value"":""0.72""},{""label"":""trustee_fee"",""value"":""0.03""},{""label"":""admin_fee"",""value"":""0.02""}]","[3,14]",cell_grid,1.0,클래스명: 수수료미징구-오프라인-보 수체감(C1) | - 수수료미징구-오프라인-보 수체감(C1) - 2.07 1.3 1.58 2.07 212 413 601 953 1964
FUND000052,KR510902511M,C2,CLASS000688,EXACT_NORMALIZED_MATCH,수수료미징구-오프라인-보수체감,미징구,오프라인,,True,1년이상 종류C1가입자,없음,없음,없음,없음,1.8700,1.1,-,1.87,{},"[{""label"":""management_fee"",""value"":""0.72""},{""label"":""trustee_fee"",""value"":""0.03""},{""label"":""admin_fee"",""value"":""0.02""}]","[14,26]",detail_table_cross_validated,0.7,"[상세표 보강] [(4, '0.72'), (5, '1.1'), (6, '0.03'), (7, '0.02')]"
FUND000052,KR510902511M,C3,CLASS000689,EXACT_NORMALIZED_MATCH,수수료미징구-오프라인-보수체감,미징구,오프라인,,True,1년이상 종류C2가입자,없음,없음,없음,없음,1.6700,0.9,-,1.67,{},"[{""label"":""management_fee"",""value"":""0.72""},{""label"":""trustee_fee"",""value"":""0.03""},{""label"":""admin_fee"",""value"":""0.02""}]","[15,26]",detail_table_cross_validated,0.7,"[상세표 보강] [(4, '0.72'), (5, '0.9'), (6, '0.03'), (7, '0.02')]"
FUND000052,KR510902511M,C4,CLASS000690,EXACT_NORMALIZED_MATCH,수수료미징구-오프라인-보수체감,미징구,오프라인,,True,1년이상 종류C3가입자,없음,없음,없음,없음,1.4700,0.7,-,1.47,{},"[{""label"":""management_fee"",""value"":""0.72""},{""label"":""trustee_fee"",""value"":""0.03""},{""label"":""admin_fee"",""value"":""0.02""}]","[15,26]",detail_table_cross_validated,0.7,"[상세표 보강] [(4, '0.72'), (5, '0.7'), (6, '0.03'), (7, '0.02')]"
FUND000052,KR510902511M,CG,CLASS000692,EXACT_NORMALIZED_MATCH,수수료미징구-오프라인-무권유저비용,미징구,오프라인,,True,투자자문업자로부터 투자자문을 받고 그 결과에 따라 집합투자증권 매수를 요청하는 등 금융기관으로부터 별도의 투자권유 없이 집합투자증권을 매수하 는 가입자,없음,없음,없음,없음,1.4200,0.65,-,1.42,"{""10y"":""1774"",""5y"":""798"",""3y"":""457"",""2y"":""298"",""1y"":""145""}","[{""label"":""management_fee"",""value"":""0.72""},{""label"":""trustee_fee"",""value"":""0.03""},{""label"":""admin_fee"",""value"":""0.02""}]","[15,27,30]",detail_table_cross_validated,0.7,"[상세표 보강] [(4, '0.72'), (5, '0.65'), (6, '0.03'), (7, '0.02')]"
FUND000052,KR510902511M,F,CLASS000693,EXACT_NORMALIZED_MATCH,"수수료미징구-오프라인-랩,펀드등",미징구,오프라인,,False,"판매회사 WRAP Account 가입 고객, 집 합투자업자가 판매 하는 수익증권에 가 입하고자 하는 법 및 이와 유사한 외국 법령에 의한 집합투자기구 (종전의 간 접투자자산운용업법에 따른 간접투자 기구를 포함한다)",없음,없음,없음,없음,0.77,-,-,0.77,"{""10y"":""962"",""5y"":""433"",""3y"":""248"",""2y"":""161"",""1y"":""78""}","[{""label"":""management_fee"",""value"":""0.72""},{""label"":""trustee_fee"",""value"":""0.03""},{""label"":""admin_fee"",""value"":""0.02""}]","[28,27,30]",detail_table_cross_validated,0.7,"[상세표 보강] [(1, '0.72'), (3, '0.03'), (4, '0.02'), (5, '0.77'), (7, '0.77'), (9, '0.77')]"
