product_code,fund_id,doc_id,file_name,duplicate_group_id,duplicate_type,canonical_product_code,is_canonical
KR510902511M,FUND000052,DOC000054,R2_KR510902511M.pdf,,UNIQUE,KR510902511M,true
KR510902773M,FUND000053,DOC000055,R2_KR510902773M.pdf,,UNIQUE,KR510902773M,true
KR510902777M,FUND000054,DOC000056,R2_KR510902777M.pdf,,UNIQUE,KR510902777M,true
KR5110501016,FUND000055,DOC000057,R2_KR5110501016.pdf,,UNIQUE,KR5110501016,true
KR5110601022,FUND000056,DOC000058,R2_KR5110601022.pdf,,UNIQUE,KR5110601022,true
KR5111420047,FUND000034,DOC000036,R2_KR5111420047.pdf,,UNIQUE,KR5111420047,true
KR5111450067,FUND000035,DOC000037,R2_KR5111450067.pdf,,UNIQUE,KR5111450067,true
KR5113420012,FUND000086,DOC000088,R2_KR5113420012.pdf,,UNIQUE,KR5113420012,true
KR5113420013,FUND000087,DOC000089,R2_KR5113420013.pdf,HANKOOK-001,EXACT_FILE,KR5113420013,true
KR5113420015,FUND000087,DOC000089,R2_KR5113420015.pdf,HANKOOK-001,EXACT_FILE,KR5113420013,false
KR5113420069,FUND000088,DOC000090,R2_KR5113420069.pdf,,UNIQUE,KR5113420069,true
KR5113450111,FUND000089,DOC000091,R2_KR5113450111.pdf,,UNIQUE,KR5113450111,true
KR5113450401,FUND000090,DOC000092,R2_KR5113450401.pdf,,UNIQUE,KR5113450401,true
KR5113470030,FUND000091,DOC000093,R2_KR5113470030.pdf,HANKOOK-002,EXACT_FILE,KR5113470030,true
KR5113470031,FUND000091,DOC000093,R2_KR5113470031.pdf,HANKOOK-002,EXACT_FILE,KR5113470030,false
KR5114420016,FUND000046,DOC000048,R2_KR5114420016.pdf,,UNIQUE,KR5114420016,true
KR5114420022,FUND000047,DOC000049,R2_KR5114420022.pdf,,UNIQUE,KR5114420022,true
KR5114420027,FUND000048,DOC000050,R2_KR5114420027.pdf,,UNIQUE,KR5114420027,true
KR5114420046,FUND000049,DOC000051,R2_KR5114420046.pdf,,UNIQUE,KR5114420046,true
KR5114450222,FUND000050,DOC000052,R2_KR5114450222.pdf,,UNIQUE,KR5114450222,true
KR5114450270,FUND000051,DOC000053,R2_KR5114450270.pdf,,UNIQUE,KR5114450270,true
KR5116501001,FUND000018,DOC000018,R2_KR5116501001.pdf,,UNIQUE,KR5116501001,true
KR5117420097,FUND000038,DOC000040,R2_KR5117420097.pdf,,UNIQUE,KR5117420097,true
KR5118201004,FUND000076,DOC000078,R2_KR5118201004.pdf,,UNIQUE,KR5118201004,true
KR5118420006,FUND000077,DOC000079,R2_KR5118420006.pdf,,UNIQUE,KR5118420006,true
KR5118420036,FUND000078,DOC000080,R2_KR5118420036.pdf,,UNIQUE,KR5118420036,true
KR5118420062,FUND000079,DOC000081,R2_KR5118420062.pdf,,UNIQUE,KR5118420062,true
KR5119450058,FUND000039,DOC000041,R2_KR5119450058.pdf,,UNIQUE,KR5119450058,true
KR5119501001,FUND000040,DOC000042,R2_KR5119501001.pdf,,UNIQUE,KR5119501001,true
KR5119520012,FUND000041,DOC000043,R2_KR5119520012.pdf,,UNIQUE,KR5119520012,true
KR5120420039,FUND000042,DOC000044,R2_KR5120420039.pdf,,UNIQUE,KR5120420039,true
KR5120420091,FUND000043,DOC000045,R2_KR5120420091.pdf,,UNIQUE,KR5120420091,true
KR5120450015,FUND000044,DOC000046,R2_KR5120450015.pdf,KYOBOAXA-001,EXACT_FILE,KR5120450015,true
KR5120450018,FUND000044,DOC000046,R2_KR5120450018.pdf,KYOBOAXA-001,EXACT_FILE,KR5120450015,false
