fund_id,product_code,source_doc_id,canonical_product_code,duplicate_group_id,is_canonical,mapping_method,mapping_confidence,review_status
FUND000052,KR510902511M,DOC000054,KR510902511M,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000053,KR510902773M,DOC000055,KR510902773M,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000054,KR510902777M,DOC000056,KR510902777M,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000055,KR5110501016,DOC000057,KR5110501016,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000056,KR5110601022,DOC000058,KR5110601022,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000034,KR5111420047,DOC000036,KR5111420047,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000035,KR5111450067,DOC000037,KR5111450067,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000086,KR5113420012,DOC000088,KR5113420012,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000087,KR5113420013,DOC000089,KR5113420013,HANKOOK-001,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000087,KR5113420015,DOC000089,KR5113420013,HANKOOK-001,false,EXACT_DUPLICATE_GROUP,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000088,KR5113420069,DOC000090,KR5113420069,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000089,KR5113450111,DOC000091,KR5113450111,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000090,KR5113450401,DOC000092,KR5113450401,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000091,KR5113470030,DOC000093,KR5113470030,HANKOOK-002,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000091,KR5113470031,DOC000093,KR5113470030,HANKOOK-002,false,EXACT_DUPLICATE_GROUP,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000046,KR5114420016,DOC000048,KR5114420016,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000047,KR5114420022,DOC000049,KR5114420022,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000048,KR5114420027,DOC000050,KR5114420027,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000049,KR5114420046,DOC000051,KR5114420046,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000050,KR5114450222,DOC000052,KR5114450222,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000051,KR5114450270,DOC000053,KR5114450270,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000018,KR5116501001,DOC000018,KR5116501001,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000038,KR5117420097,DOC000040,KR5117420097,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000076,KR5118201004,DOC000078,KR5118201004,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000077,KR5118420006,DOC000079,KR5118420006,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000078,KR5118420036,DOC000080,KR5118420036,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000079,KR5118420062,DOC000081,KR5118420062,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000039,KR5119450058,DOC000041,KR5119450058,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000040,KR5119501001,DOC000042,KR5119501001,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000041,KR5119520012,DOC000043,KR5119520012,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000042,KR5120420039,DOC000044,KR5120420039,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000043,KR5120420091,DOC000045,KR5120420091,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000044,KR5120450015,DOC000046,KR5120450015,KYOBOAXA-001,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000044,KR5120450018,DOC000046,KR5120450015,KYOBOAXA-001,false,EXACT_DUPLICATE_GROUP,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000045,KR5120451001,DOC000047,KR5120451001,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000012,KR5122420005,DOC000012,KR5122420005,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
FUND000080,KR5123365001,DOC000082,KR5123365001,,true,DIRECT_DOCUMENT,1.0,VERIFIED_BY_DOCUMENT_INDEX
