fund_id,product_code,class_id,team_class_code,row_kind,period,return_pct,inception_date,source_page,source_pages,method,confidence,evidence
FUND000052,KR510902511M,CLASS000685,A,class_return,1Y,-23.62,2010-12-23,4,[4],cell_grid,1.0,수수료선취-오프라인(A) 수수료선취-오프라인(A) -23.62 1.79 -10.60 2.53 2.29
FUND000052,KR510902511M,CLASS000685,A,class_return,2Y,1.79,2010-12-23,4,[4],cell_grid,1.0,수수료선취-오프라인(A) 수수료선취-오프라인(A) -23.62 1.79 -10.60 2.53 2.29
FUND000052,KR510902511M,CLASS000685,A,class_return,3Y,-10.60,2010-12-23,4,[4],cell_grid,1.0,수수료선취-오프라인(A) 수수료선취-오프라인(A) -23.62 1.79 -10.60 2.53 2.29
FUND000052,KR510902511M,CLASS000685,A,class_return,5Y,2.53,2010-12-23,4,[4],cell_grid,1.0,수수료선취-오프라인(A) 수수료선취-오프라인(A) -23.62 1.79 -10.60 2.53 2.29
FUND000052,KR510902511M,CLASS000685,A,class_return,SINCE_INCEPTION,2.29,2010-12-23,4,[4],cell_grid,1.0,수수료선취-오프라인(A) 수수료선취-오프라인(A) -23.62 1.79 -10.60 2.53 2.29
FUND000052,KR510902511M,CLASS000687,C1,class_return,1Y,-,2010-12-23,4,[4],cell_grid,1.0,수수료미징구-오프라인-보수 2010.12.23 체감(C1) 수수료미징구-오프라인-보수 체감(C1) - - - - -
FUND000052,KR510902511M,CLASS000687,C1,class_return,2Y,-,2010-12-23,4,[4],cell_grid,1.0,수수료미징구-오프라인-보수 2010.12.23 체감(C1) 수수료미징구-오프라인-보수 체감(C1) - - - - -
FUND000052,KR510902511M,CLASS000687,C1,class_return,3Y,-,2010-12-23,4,[4],cell_grid,1.0,수수료미징구-오프라인-보수 2010.12.23 체감(C1) 수수료미징구-오프라인-보수 체감(C1) - - - - -
FUND000052,KR510902511M,CLASS000687,C1,class_return,5Y,-,2010-12-23,4,[4],cell_grid,1.0,수수료미징구-오프라인-보수 2010.12.23 체감(C1) 수수료미징구-오프라인-보수 체감(C1) - - - - -
FUND000052,KR510902511M,CLASS000687,C1,class_return,SINCE_INCEPTION,-,2010-12-23,4,[4],cell_grid,1.0,수수료미징구-오프라인-보수 2010.12.23 체감(C1) 수수료미징구-오프라인-보수 체감(C1) - - - - -
FUND000052,KR510902511M,CLASS000686,A-e,class_return,1Y,-23.33,2010-12-23,4,[4],cell_grid,1.0,수수료선취-온라인(A-e) 수수료선취-온라인(A-e) -23.33 2.15 -10.28 2.83 2.47
FUND000052,KR510902511M,CLASS000686,A-e,class_return,2Y,2.15,2010-12-23,4,[4],cell_grid,1.0,수수료선취-온라인(A-e) 수수료선취-온라인(A-e) -23.33 2.15 -10.28 2.83 2.47
FUND000052,KR510902511M,CLASS000686,A-e,class_return,3Y,-10.28,2010-12-23,4,[4],cell_grid,1.0,수수료선취-온라인(A-e) 수수료선취-온라인(A-e) -23.33 2.15 -10.28 2.83 2.47
FUND000052,KR510902511M,CLASS000686,A-e,class_return,5Y,2.83,2010-12-23,4,[4],cell_grid,1.0,수수료선취-온라인(A-e) 수수료선취-온라인(A-e) -23.33 2.15 -10.28 2.83 2.47
FUND000052,KR510902511M,CLASS000686,A-e,class_return,SINCE_INCEPTION,2.47,2010-12-23,4,[4],cell_grid,1.0,수수료선취-온라인(A-e) 수수료선취-온라인(A-e) -23.33 2.15 -10.28 2.83 2.47
FUND000052,KR510902511M,CLASS000691,C-e,class_return,1Y,-23.42,2018-02-27,4,[4],cell_grid,1.0,수수료미징구-온라인(C-e) 2018.02.27 수수료미징구-온라인(C-e) 2018.02.27 -23.42 2.05 -10.38 2.82 2.26
FUND000052,KR510902511M,CLASS000691,C-e,class_return,2Y,2.05,2018-02-27,4,[4],cell_grid,1.0,수수료미징구-온라인(C-e) 2018.02.27 수수료미징구-온라인(C-e) 2018.02.27 -23.42 2.05 -10.38 2.82 2.26
FUND000052,KR510902511M,CLASS000691,C-e,class_return,3Y,-10.38,2018-02-27,4,[4],cell_grid,1.0,수수료미징구-온라인(C-e) 2018.02.27 수수료미징구-온라인(C-e) 2018.02.27 -23.42 2.05 -10.38 2.82 2.26
FUND000052,KR510902511M,CLASS000691,C-e,class_return,5Y,2.82,2018-02-27,4,[4],cell_grid,1.0,수수료미징구-온라인(C-e) 2018.02.27 수수료미징구-온라인(C-e) 2018.02.27 -23.42 2.05 -10.38 2.82 2.26
FUND000052,KR510902511M,CLASS000691,C-e,class_return,SINCE_INCEPTION,2.26,2018-02-27,4,[4],cell_grid,1.0,수수료미징구-온라인(C-e) 2018.02.27 수수료미징구-온라인(C-e) 2018.02.27 -23.42 2.05 -10.38 2.82 2.26
FUND000052,KR510902511M,,,fund,1Y,-22.43,2010-12-23,4,[4],cell_grid,1.0,투자실적 투자신탁 추이 투자실적 추이 투자신탁 -22.43 3.31 -9.25 4.14 3.95
FUND000052,KR510902511M,,,fund,2Y,3.31,2010-12-23,4,[4],cell_grid,1.0,투자실적 투자신탁 추이 투자실적 추이 투자신탁 -22.43 3.31 -9.25 4.14 3.95
FUND000052,KR510902511M,,,fund,3Y,-9.25,2010-12-23,4,[4],cell_grid,1.0,투자실적 투자신탁 추이 투자실적 추이 투자신탁 -22.43 3.31 -9.25 4.14 3.95
FUND000052,KR510902511M,,,fund,5Y,4.14,2010-12-23,4,[4],cell_grid,1.0,투자실적 투자신탁 추이 투자실적 추이 투자신탁 -22.43 3.31 -9.25 4.14 3.95
FUND000052,KR510902511M,,,fund,SINCE_INCEPTION,3.95,2010-12-23,4,[4],cell_grid,1.0,투자실적 투자신탁 추이 투자실적 추이 투자신탁 -22.43 3.31 -9.25 4.14 3.95
FUND000052,KR510902511M,,,benchmark,1Y,-9.63,2010-12-23,4,[4],cell_grid,1.0,"(연평균 2010.12.23 비교지수 수익률, (연평균 수익률, 비교지수 -9.63 3.58 -6.94 1.77 1.17"
