fund_id,product_code,class_id,team_class_code,row_kind,year_rank,period,return_pct,source_page,quality_status
FUND000052,KR510902511M,CLASS000685,A,class_return,1,24.01.01~24.12.31,-23.62,47,NORMAL
FUND000052,KR510902511M,CLASS000685,A,class_return,2,23.01.01~23.12.31,35.66,47,NORMAL
FUND000052,KR510902511M,CLASS000685,A,class_return,3,22.01.01~22.12.31,-31.08,47,NORMAL
FUND000052,KR510902511M,CLASS000685,A,class_return,4,21.01.01~21.12.31,18.99,47,NORMAL
FUND000052,KR510902511M,CLASS000685,A,class_return,5,20.01.01~20.12.31,33.38,47,NORMAL
FUND000052,KR510902511M,CLASS000686,A-e,class_return,1,24.01.01~24.12.31,-23.33,47,NORMAL
FUND000052,KR510902511M,CLASS000686,A-e,class_return,2,23.01.01~23.12.31,36.13,47,NORMAL
FUND000052,KR510902511M,CLASS000686,A-e,class_return,3,22.01.01~22.12.31,-30.82,47,NORMAL
FUND000052,KR510902511M,CLASS000686,A-e,class_return,4,21.01.01~21.12.31,19.2,47,NORMAL
FUND000052,KR510902511M,CLASS000686,A-e,class_return,5,20.01.01~20.12.31,33.59,47,NORMAL
FUND000052,KR510902511M,CLASS000690,C4,class_return,1,24.01.01~24.12.31,-23.62,47,NORMAL
FUND000052,KR510902511M,CLASS000690,C4,class_return,2,23.01.01~23.12.31,35.66,47,NORMAL
FUND000052,KR510902511M,CLASS000690,C4,class_return,3,22.01.01~22.12.31,-31.08,47,NORMAL
FUND000052,KR510902511M,CLASS000690,C4,class_return,4,21.01.01~21.12.31,18.96,47,NORMAL
FUND000052,KR510902511M,CLASS000690,C4,class_return,5,20.01.01~20.12.31,33.33,47,NORMAL
FUND000052,KR510902511M,CLASS000691,C-e,class_return,1,24.01.01~24.12.31,-23.42,47,NORMAL
FUND000052,KR510902511M,CLASS000691,C-e,class_return,2,23.01.01~23.12.31,36.0,47,NORMAL
FUND000052,KR510902511M,CLASS000691,C-e,class_return,3,22.01.01~22.12.31,-30.91,47,NORMAL
FUND000052,KR510902511M,CLASS000691,C-e,class_return,4,21.01.01~21.12.31,19.33,47,NORMAL
FUND000052,KR510902511M,CLASS000691,C-e,class_return,5,20.01.01~20.12.31,33.86,47,NORMAL
FUND000052,KR510902511M,CLASS000693,F,class_return,1,24.01.01~24.12.31,-23.05,47,NORMAL
FUND000052,KR510902511M,CLASS000693,F,class_return,2,23.01.01~23.12.31,36.59,47,NORMAL
FUND000052,KR510902511M,CLASS000693,F,class_return,3,22.01.01~22.12.31,-30.57,47,NORMAL
FUND000052,KR510902511M,CLASS000693,F,class_return,4,21.01.01~21.12.31,19.96,47,NORMAL
FUND000052,KR510902511M,CLASS000693,F,class_return,5,20.01.01~20.12.31,34.61,47,NORMAL
FUND000052,KR510902511M,CLASS000694,S,class_return,1,24.01.01~24.12.31,-23.33,47,NORMAL
FUND000052,KR510902511M,CLASS000694,S,class_return,2,23.01.01~23.12.31,36.13,47,NORMAL
FUND000052,KR510902511M,CLASS000694,S,class_return,3,22.01.01~22.12.31,-30.82,47,NORMAL
FUND000052,KR510902511M,CLASS000694,S,class_return,4,21.01.01~21.12.31,19.55,47,NORMAL
FUND000052,KR510902511M,CLASS000694,S,class_return,5,20.01.01~20.12.31,34.18,47,NORMAL
FUND000052,KR510902511M,,,fund,1,24.01.01~24.12.31,-22.43,47,NORMAL
FUND000052,KR510902511M,,,fund,2,23.01.01~23.12.31,37.62,47,NORMAL
FUND000052,KR510902511M,,,fund,3,22.01.01~22.12.31,-30.0,47,NORMAL
FUND000052,KR510902511M,,,fund,4,21.01.01~21.12.31,20.87,47,NORMAL
FUND000052,KR510902511M,,,fund,5,20.01.01~20.12.31,35.68,47,NORMAL
FUND000052,KR510902511M,,,benchmark,1,24.01.01~24.12.31,-9.63,47,NORMAL
FUND000052,KR510902511M,,,benchmark,2,23.01.01~23.12.31,18.73,47,NORMAL
FUND000052,KR510902511M,,,benchmark,3,22.01.01~22.12.31,-24.89,47,NORMAL
FUND000052,KR510902511M,,,benchmark,4,21.01.01~21.12.31,3.63,47,NORMAL
FUND000052,KR510902511M,,,benchmark,5,20.01.01~20.12.31,30.75,47,NORMAL
FUND000053,KR510902773M,CLASS000699,C,class_return,1,24.11.01~25.10.31,42.12,45,NORMAL
FUND000053,KR510902773M,CLASS000699,C,class_return,2,23.11.01~24.10.31,14.19,45,NORMAL
FUND000053,KR510902773M,CLASS000699,C,class_return,3,22.11.01~23.10.31,5.76,45,NORMAL
FUND000053,KR510902773M,CLASS000699,C,class_return,4,21.11.01~22.10.31,-18.89,45,NORMAL
FUND000053,KR510902773M,CLASS000699,C,class_return,5,20.11.01~21.10.31,33.73,45,NORMAL
FUND000053,KR510902773M,CLASS000700,C-e,class_return,1,24.11.01~25.10.31,42.77,45,NORMAL
FUND000053,KR510902773M,CLASS000700,C-e,class_return,2,23.11.01~24.10.31,14.72,45,NORMAL
FUND000053,KR510902773M,CLASS000700,C-e,class_return,3,22.11.01~23.10.31,6.26,45,NORMAL
FUND000053,KR510902773M,CLASS000700,C-e,class_return,4,21.11.01~22.10.31,-18.5,45,NORMAL
FUND000053,KR510902773M,CLASS000700,C-e,class_return,5,20.11.01~21.10.31,34.34,45,NORMAL
FUND000053,KR510902773M,,,fund,1,24.11.01~25.10.31,44.24,45,NORMAL
FUND000053,KR510902773M,,,fund,2,23.11.01~24.10.31,15.92,45,NORMAL
FUND000053,KR510902773M,,,fund,3,22.11.01~23.10.31,7.39,45,NORMAL
FUND000053,KR510902773M,,,fund,4,21.11.01~22.10.31,-17.62,45,NORMAL
FUND000053,KR510902773M,,,fund,5,20.11.01~21.10.31,35.74,45,NORMAL
FUND000053,KR510902773M,,,benchmark,1,24.11.01~25.10.31,60.69,45,NORMAL
FUND000053,KR510902773M,,,benchmark,2,23.11.01~24.10.31,12.21,45,NORMAL
FUND000053,KR510902773M,,,benchmark,3,22.11.01~23.10.31,-0.68,45,NORMAL
FUND000053,KR510902773M,,,benchmark,4,21.11.01~22.10.31,-22.79,45,NORMAL
FUND000053,KR510902773M,,,benchmark,5,20.11.01~21.10.31,31.03,45,NORMAL
FUND000054,KR510902777M,CLASS000702,C,class_return,1,24.11.01~25.10.31,68.12,48,NORMAL
FUND000054,KR510902777M,CLASS000702,C,class_return,2,23.11.01~24.10.31,9.07,48,NORMAL
FUND000054,KR510902777M,CLASS000702,C,class_return,3,22.11.01~23.10.31,-0.66,48,NORMAL
FUND000054,KR510902777M,CLASS000702,C,class_return,4,21.11.01~22.10.31,-21.26,48,NORMAL
FUND000054,KR510902777M,CLASS000702,C,class_return,5,20.11.01~21.10.31,44.95,48,NORMAL
FUND000054,KR510902777M,CLASS000703,C-e,class_return,1,24.11.01~25.10.31,68.88,49,NORMAL
FUND000054,KR510902777M,CLASS000703,C-e,class_return,2,23.11.01~24.10.31,9.57,49,NORMAL
FUND000054,KR510902777M,CLASS000703,C-e,class_return,3,22.11.01~23.10.31,-0.18,49,NORMAL
FUND000054,KR510902777M,CLASS000703,C-e,class_return,4,21.11.01~22.10.31,-20.87,49,NORMAL
FUND000054,KR510902777M,CLASS000703,C-e,class_return,5,20.11.01~21.10.31,45.6,49,NORMAL
FUND000054,KR510902777M,CLASS000705,S-P,class_return,1,24.11.01~25.10.31,69.03,49,NORMAL
FUND000054,KR510902777M,CLASS000705,S-P,class_return,2,23.11.01~24.10.31,9.67,49,NORMAL
FUND000054,KR510902777M,CLASS000705,S-P,class_return,3,22.11.01~23.10.31,-0.08,49,NORMAL
FUND000054,KR510902777M,CLASS000705,S-P,class_return,4,21.11.01~22.10.31,-20.79,49,NORMAL
FUND000054,KR510902777M,CLASS000705,S-P,class_return,5,20.11.01~21.10.31,45.73,49,NORMAL
FUND000054,KR510902777M,,,fund,1,24.11.01~25.10.31,70.6,49,NORMAL
FUND000054,KR510902777M,,,fund,2,23.11.01~24.10.31,10.7,49,NORMAL
FUND000054,KR510902777M,,,fund,3,22.11.01~23.10.31,0.9,49,NORMAL
FUND000054,KR510902777M,,,fund,4,21.11.01~22.10.31,-19.99,49,NORMAL
FUND000054,KR510902777M,,,fund,5,20.11.01~21.10.31,47.09,49,NORMAL
FUND000054,KR510902777M,,,benchmark,1,24.11.01~25.10.31,60.69,49,NORMAL
