fund_id,product_code,redemption_note
FUND000052,KR510902511M,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000053,KR510902773M,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000054,KR510902777M,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000055,KR5110501016,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000056,KR5110601022,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000034,KR5111420047,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 않습니다
FUND000035,KR5111450067,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 않습니다
FUND000086,KR5113420012,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000087,KR5113420013,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000087,KR5113420015,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000088,KR5113420069,이 투자신탁은 수익자가 수익증권을 환매하는 경우 수익자에게 환매수수료를 부과하지 아니합니다
FUND000089,KR5113450111,이 투자신탁은 환매수수료를 부과하지 않습니다
FUND000090,KR5113450401,이 투자신탁은 수익자가 수익증권을 환매하는 경우 수익자에게 환매수수료를 부과하지 아니합니다
FUND000091,KR5113470030,이 투자신탁은 수익자가 수익증권을 환매하는 경우 수익자에게 환매수수료를 부과하지 아니합니다
FUND000091,KR5113470031,이 투자신탁은 수익자가 수익증권을 환매하는 경우 수익자에게 환매수수료를 부과하지 아니합니다
FUND000046,KR5114420016,이 투자신탁의 수익자가 수익증권을 환매하는경우 환매수수료를 징구하지 아니합니다
FUND000047,KR5114420022,이 투자신탁의 수익자가 수익증권을 환매하는경우 환매수수료를 징구하지 아니합니다
FUND000048,KR5114420027,이 투자신탁의 수익자가 수익증권을 환매하는경우 환매수수료를 징구하지 아니합니다
FUND000049,KR5114420046,"이 투자신탁은 수익증권의 보유기간에 따라 환매수수료를 부과하며, 부과된 수수료는 투자신탁의 재산으로 편입됩니다"
FUND000050,KR5114450222,이 투자신탁의 수익자가 수익증권을 환매하는경우 환매수수료를 징구하지 아니합니다
FUND000051,KR5114450270,이 투자신탁의 수익자가 수익증권을 환매하는경우 환매수수료를 징구하지 아니합니다
FUND000018,KR5116501001,이 투자신탁은 수익자가 수익증권을 환매하는 경우 환매수수료를 부과하지 아니합니다
