fund_id,product_code,product_name,product_name_page,product_name_method,product_name_confidence,product_name_evidence,asset_type,asset_type_page,asset_type_method,asset_type_confidence,asset_type_evidence,risk_level,risk_level_page,risk_level_method,risk_level_confidence,risk_level_evidence
FUND000052,KR510902511M,미래에셋장기성장포커스증권자투자신탁1호(주식),1,name_regex,1.0,미래에셋장기성장포커스증권자투자신탁1호(주식),주식,1,bracket_vocab_match,1.0,미래에셋장기성장포커스증권자투자신탁1호(주식),1,1,risk_table_regex,1.0,매우높은위험
FUND000053,KR510902773M,미래에셋고배당포커스연금저축증권전환형자투자신탁1호(주식),1,name_regex,1.0,미래에셋고배당포커스연금저축증권전환형자투자신탁1호(주식),주식,1,bracket_vocab_match,1.0,미래에셋고배당포커스연금저축증권전환형자투자신탁1호(주식),3,1,risk_table_regex,1.0,다소높은위험
FUND000054,KR510902777M,미래에셋코어밸류연금저축증권전환형자투자신탁1호(주식),1,name_regex,1.0,미래에셋코어밸류연금저축증권전환형자투자신탁1호(주식),주식,1,bracket_vocab_match,1.0,미래에셋코어밸류연금저축증권전환형자투자신탁1호(주식),2,1,risk_table_regex,1.0,높은위험
FUND000055,KR5110501016,미래에셋프리미엄크레딧알파증권자투자신탁(채권),1,name_regex,1.0,미래에셋프리미엄크레딧알파증권자투자신탁(채권),채권,1,bracket_vocab_match,1.0,미래에셋프리미엄크레딧알파증권자투자신탁(채권),6,1,risk_table_regex,1.0,매우낮은위험
FUND000056,KR5110601022,미래에셋차세대Fun인덱스증권자투자신탁[주식],1,name_regex,1.0,미래에셋차세대Fun인덱스증권자투자신탁[주식],주식,1,bracket_vocab_match,1.0,미래에셋차세대Fun인덱스증권자투자신탁[주식],2,1,risk_table_regex,1.0,높은위험
FUND000034,KR5111420047,하나파워e단기채증권자투자신탁[채권],1,name_regex,1.0,하나파워e단기채증권자투자신탁[채권],채권,1,bracket_vocab_match,1.0,하나파워e단기채증권자투자신탁[채권],6,1,risk_table_regex,1.0,매우낮은위험
FUND000035,KR5111450067,하나IT코리아증권자투자신탁(제1호)[주식],1,name_regex,1.0,하나IT코리아증권자투자신탁(제1호)[주식],주식,1,bracket_vocab_match,1.0,하나IT코리아증권자투자신탁(제1호)[주식],2,1,risk_table_regex,1.0,높은위험
FUND000086,KR5113420012,한국투자 골드플랜 연금 증권 전환형 투자신탁 1호(국공채),1,name_regex,1.0,한국투자 골드플랜 연금 증권 전환형 투자신탁 1호(국공채),국공채,1,bracket_vocab_match,1.0,한국투자 골드플랜 연금 증권 전환형 투자신탁 1호(국공채),5,1,risk_table_regex,1.0,낮은위험
FUND000087,KR5113420013,한국투자 골드플랜 연금 증권 전환형 자투자신탁 1호(채권),1,name_regex,1.0,한국투자 골드플랜 연금 증권 전환형 자투자신탁 1호(채권),채권,1,bracket_vocab_match,1.0,한국투자 골드플랜 연금 증권 전환형 자투자신탁 1호(채권),5,1,risk_table_regex,1.0,낮은위험
FUND000087,KR5113420015,한국투자 골드플랜 연금 증권 전환형 자투자신탁 1호(채권),1,name_regex,1.0,한국투자 골드플랜 연금 증권 전환형 자투자신탁 1호(채권),채권,1,bracket_vocab_match,1.0,한국투자 골드플랜 연금 증권 전환형 자투자신탁 1호(채권),5,1,risk_table_regex,1.0,낮은위험
FUND000088,KR5113420069,한국투자 크레딧포커스 ESG 증권 자투자신탁 1호(채권),1,name_regex,1.0,한국투자 크레딧포커스 ESG 증권 자투자신탁 1호(채권),채권,1,bracket_vocab_match,1.0,한국투자 크레딧포커스 ESG 증권 자투자신탁 1호(채권),5,1,risk_table_regex,1.0,낮은위험
FUND000089,KR5113450111,한국투자 골드플랜 연금 증권 전환형 투자신탁 1호(주식),1,name_regex,1.0,한국투자 골드플랜 연금 증권 전환형 투자신탁 1호(주식),주식,1,bracket_vocab_match,1.0,한국투자 골드플랜 연금 증권 전환형 투자신탁 1호(주식),2,1,risk_table_regex,1.0,높은위험
