fund_id,product_code,kind,rule_text,source_page
FUND000052,KR510902511M,매입기준가,1. 15시 30분 이전 : 자금을 납입하는 영업일(D)로 부터 제2영업일에 공고되는 기준가격을 적용 2. 15시 30분 경과후 : 자금을 납입하는 영업일(D)로 부터 제3영업일에 공고되는 기준가격을 적용,5
FUND000052,KR510902511M,환매기준가,"1. 15시 30분 이전 : 환매청구일(D)로 부터 제2영업일 에 공고되는 기준가격을 적용하여,제4영업일에 환매 대금을 지급 2. 15시 30분 경과후 : 환매청구일(D)로 부터 제3영업 일에 공고되는 기준가격을 적용하여,제4영업일에 환 매대금을 지급",5
FUND000053,KR510902773M,매입기준가,1. 15시 30분 이전 : 자금을 납입하는 영업일(D)로 부터 제2영업일에 공고되는 기준가격을 적용 2. 15시 30분 경과후 : 자금을 납입하는 영업일(D)로 부터 제3영업일에 공고되는 기준가격을 적용,5
FUND000053,KR510902773M,환매기준가,"1. 15시 30분 이전 : 환매청구일(D)로 부터 제2영업일 에 공고되는 기준가격을 적용하여,제4영업일에 환매 대금을 지급 2. 15시 30분 경과후 : 환매청구일(D)로 부터 제3영업 일에 공고되는 기준가격을 적용하여,제4영업일에 환 매대금을 지급",5
FUND000054,KR510902777M,매입기준가,1. 15시 30분 이전 : 자금을 납입하는 영업일(D)로 부터 제2영업일에 공고되는 기준가격을 적용 2. 15시 30분 경과후 : 자금을 납입하는 영업일(D)로 부터 제3영업일에 공고되는 기준가격을 적용,5
FUND000054,KR510902777M,환매기준가,"1. 15시 30분 이전 : 환매청구일(D)로 부터 제2영업일 에 공고되는 기준가격을 적용하여,제4영업일에 환매 대금을 지급 2. 15시 30분 경과후 : 환매청구일(D)로 부터 제3영업 일에 공고되는 기준가격을 적용하여,제4영업일에 환 매대금을 지급",5
FUND000055,KR5110501016,매입기준가,1. 17시 이전 : 자금을 납입하는 영업일(D)로 부터 제2영업일에 공고되는 기준가격을 적용 2. 17시 경과후 : 자금을 납입하는 영업일(D)로 부터 제3영업일에 공고되는 기준가격을 적용,5
FUND000055,KR5110501016,환매기준가,"1. 17시 이전 : 환매청구일(D)로 부터 제3영업일에 공 고되는 기준가격을 적용하여,제3영업일에 환매대금을 지급 2. 17시 경과후 : 환매청구일(D)로 부터 제4영업일에 공고되는 기준가격을 적용하여,제4영업일에 환매대금 을 지급",5
FUND000056,KR5110601022,매입기준가,1. 15시 30분 이전 : 자금을 납입하는 영업일(D)로 부터 제2영업일에 공고되는 기준가격을 적용 2. 15시 30분 경과후 : 자금을 납입하는 영업일(D)로 부터 제3영업일에 공고되는 기준가격을 적용,5
FUND000056,KR5110601022,환매기준가,"1. 15시 30분 이전 : 환매청구일(D)로 부터 제3영업일 에 공고되는 기준가격을 적용하여,제4영업일에 환매 대금을 지급 2. 15시 30분 경과후 : 환매청구일(D)로 부터 제4영업 일에 공고되는 기준가격을 적용하여,제4영업일에 환 매대금을 지급",5
FUND000034,KR5111420047,매입기준가,· 17시 이전 : 2영업일 기준가 매입 · 17시 경과 후 : 3영업일 기준가 매입,7
FUND000034,KR5111420047,환매기준가,· 17시 이전 : 3영업일 기준가 3영업일 지급 · 17시 경과 후 : 4영업일 기준가 4영업일 지급,7
FUND000035,KR5111450067,매입기준가,· 15시 30분 이전 : 제2영업일 기준가 매입 · 15시 30분 경과 후 : 제3영업일 기준가 매입,7
FUND000035,KR5111450067,환매기준가,· 15시 30분 이전 : 제2영업일 기준가 제4영업일 지급 · 15시 30분 경과 후 : 제3영업일 기준가 제 4영업일 지급,7
FUND000086,KR5113420012,매입기준가,ㆍ오후 5시 이전에 자금을 납입한 경우 : 자금을 납입한 영업일로부터 2영업일 (D+1)에 공고되는 기준가격을 적용하여 매입 ㆍ오후 5시 경과 후에 자금을 납입한 경 우 : 자금을 납입한 영업일로부터 3영업 일(D+2)에 공고되는 기준가격을 적용하 여 매입,7
FUND000086,KR5113420012,환매기준가,ㆍ오후 5시 이전에 환매를 청구한 경우 : 환매청구일로부터 3영업일(D+2)에 공고되 는 기준가격을 적용. 3영업일(D+2)에 관련 세금 등을 공제한 후 환매대금을 지급 ㆍ오후 5시 경과 후에 환매를 청구한 경 우 : 환매청구일로부터 4영업일(D+3)에 공 고되는 기준가격을 적용. 4영업일(D+3)에 관련 세금 등을 공제한 후 환매대금을 지 급,7
FUND000087,KR5113420013,매입기준가,ㆍ오후 5시 이전에 자금을 납입한 경우 : 자금을 납입한 영업일로부터 2영업일 (D+1)에 공고되는 기준가격을 적용하여 매입 ㆍ오후 5시 경과 후에 자금을 납입한 경 우 : 자금을 납입한 영업일로부터 3영업 일(D+2)에 공고되는 기준가격을 적용하 여 매입,7
FUND000087,KR5113420013,환매기준가,ㆍ오후 5시 이전에 환매를 청구한 경우 : 환매청구일로부터 3영업일(D+2)에 공고되 는 기준가격을 적용. 3영업일(D+2)에 관련 세금 등을 공제한 후 환매대금을 지급 ㆍ오후 5시 경과 후에 환매를 청구한 경 우 : 환매청구일로부터 4영업일(D+3)에 공 고되는 기준가격을 적용. 4영업일(D+3)에 관련 세금 등을 공제한 후 환매대금을 지 급,7
FUND000087,KR5113420015,매입기준가,ㆍ오후 5시 이전에 자금을 납입한 경우 : 자금을 납입한 영업일로부터 2영업일 (D+1)에 공고되는 기준가격을 적용하여 매입 ㆍ오후 5시 경과 후에 자금을 납입한 경 우 : 자금을 납입한 영업일로부터 3영업 일(D+2)에 공고되는 기준가격을 적용하 여 매입,7
FUND000087,KR5113420015,환매기준가,ㆍ오후 5시 이전에 환매를 청구한 경우 : 환매청구일로부터 3영업일(D+2)에 공고되 는 기준가격을 적용. 3영업일(D+2)에 관련 세금 등을 공제한 후 환매대금을 지급 ㆍ오후 5시 경과 후에 환매를 청구한 경 우 : 환매청구일로부터 4영업일(D+3)에 공 고되는 기준가격을 적용. 4영업일(D+3)에 관련 세금 등을 공제한 후 환매대금을 지 급,7
FUND000088,KR5113420069,매입기준가,"1) 17시[오후5시] 이전에 자금을 납입한 경우 : 자금을 납입한 영업일로부터 2영업일(D+1)에 공고 되는 수익증권의  2) 17시[오후5시] 경과 후에 자금을 납입한 경우 : 자금을 납입한 영업일로부터 3영업일(D+2)에 공고되는 수익증권의  ※ 수익증권의 판매회사는 전산시스템에 따라 매입 또는 환매업무를 처리한 경우에는 거래전표에 표시된 시점을 매입 또는 환매를 청구한 시점으로 봅니다. 다만, 수익자의 개별적인 매입 또는 환매청구 없이 사전약정에 따라 주기적으로 수익증권의 매입 또는 환매업무가 처리되는 경우 에는 매입 또는 환매의 기준시점 이전에 매입 또는 환매청구가 이루어진 것으로 봅니다. ※ 모투자신탁 수익증권의 매수 집합투자업자는 투자자가 이 투자신탁 수익증권의 취득을 위하여 판매회사에 자금을 납입한 경우 달리 운용하여야 할 특별한 사유가 없는 한 자금을 납입한 당일에 모투자신탁 수익증권의 매수를 청구하여야 합니다.",33
